label,specname,type,group,Notes
avena,avena,spec,annual,
bromus.h,bro.hordeaceous,spec,annual,
bromus.madritensis,bro.madritensis,spec,annual,Not in the original mix - may be a weed
bromusdiandrus,bro.diandrus,spec,annual,Not in the original mix - may be a weed
hordeum,hordeum.sp,spec,annual,
hordeum.sp.,hordeum.sp,spec,annual,
lolium,lolium,spec,annual,
oats,oats,spec,annual,Check what is meant by oats
trifolium,trifolium,spec,annual,
hordeum.murinum,hordeum.sp,spec,annual,
hordeum.marinum..more.like.mh0,hordeum.sp,spec,annual,
centaurea,centaurea,spec,centaurea,"Considered one of WAPS, or separate?"
bromus.c,bro.carinatus,spec,natives,
elymus,elymus,spec,natives,
leymus,leymus,spec,natives,
lotus,lotus,spec,natives,
lupinus,lupinus,spec,natives,
nassella,nassella,spec,natives,
poa,poa,spec,natives,
vulpia,vulpia,spec,natives,
annual,annuals,class,other,
annuals,annuals,class,other,
bare,bare,class,other,
bunchgrass,bunchgrass,spec,other,
dead..not.senesced.litter.,dead.grass,class,other,
dead.grass..not.senesced.litter.,dead.grass,class,other,
disturbance,disturbance,class,other,
grass,grass,class,other,
litter,litter,class,other,
native,natives,class,other,
natives,natives,class,other,
other,other,class,other,
other.weeds,other.weeds,class,other,
total,total,class,other,
waps,waps,class,other,
weeds,weeds,class,other,
aegilops,aegilops,spec,waps,
taeniatherum,taeniatherum,spec,waps,
ag..big,ag.big,spec,weeds,
ag.small,ag.small,spec,weeds,
amsinckia,amsinckia,spec,weeds,
big.leaf.dandelion..leaf.looks.like.mustard.,big.leaf.dandelion,spec,weeds,
bindweed,bindweed,spec,weeds,
capbur,cap.bur,spec,weeds,
capsella,cap.bur,spec,weeds,
conarv,con.arv,spec,weeds,
conyza,conyza,spec,weeds,
epilobiumbrachyantherum,epilobium.brach,spec,weeds,
erodium.moschatum,erodium.moschatum,spec,weeds,
galium,galium,spec,weeds,
geranium,geranium,spec,weeds,
gumplant,gumplant,spec,weeds,
helann,helianthus,spec,weeds,
helianthus,helianthus,spec,weeds,
italian.thistle,italian.thistle,spec,weeds,
kickxia.elatine..fuzzy.,kickxia.elatine,spec,weeds,
lactuca..broadleaf.with.spines.down.back.vein.,lactuca.serriola,spec,weeds,
lactucaserriola,lactuca.serriola,spec,weeds,
melilotus,melilotus,spec,weeds,
milk.thistle,milk.thistle,spec,weeds,
mustard,mustard,spec,weeds,
orchard.grass,orchard.grass,spec,weeds,
phalaris,phalaris.sp,spec,weeds,
phalaris.sp.,phalaris.sp,spec,weeds,
redmaid,redmaid,spec,weeds,
senecio,senecio,spec,weeds,
tarweed,tarweed,spec,weeds,
thistle,thistle,spec,weeds,
tragopogon.porrifolius,tragopogon.porrifolius,spec,weeds,
unk..thistle,unk.thistle,spec,weeds,
veronica,veronica,spec,weeds,
vetch,vicia,spec,weeds,
vicia,vicia,spec,weeds,
